0kilo	'kilau	@千; { 千	13
4gram	'kilagrEm	@千克, 公斤; | 千克, 公斤	7
8s	'kilagrEm	@千克( kilogram的名词复数 )	20
4meter	'kilami:ta	@千米, 公里; | 千米, 公里	4
7re	'kilajmi:ta(r)	@公里, 千米	11
4watt	'kilawQt	@千瓦; | 千瓦[特]	8
2n	kin	@亲戚, 同族, 血缘关系, 家族; #有亲属关系的, 性质类似的, 同类的	b8
3d	kaind	@种类, 性质, 方式; #亲切的, 仁慈的, 和蔼的	3
4ergarten	'kinda.gA:tn	@幼稚园	32
4le	'kindl	!点燃, 使着火, 引起, 照亮; $着火, 激动, 发亮	e8
4ness	'kaindnis	@仁慈, 亲切, 和蔼	1e
4red	'kindrid	@家族, 相似, 亲戚关系; #同族的, 同类的, 血缘的	80
3etic	kai'netik	#运动的, 运动引起的, 动力学的, 活动的; | 运动的, 动的, 动力的	c8
3g	kiN	@国王, 君主; !使...成为君主; $君临, 统治	37
4dom	'kiNdam	@王国, 领域; | 界(动物,植物,矿物)	5e
3ship	'kinSip	@亲属关系; } 亲属关系, 家族关系, 关系	10
2osk	ki'Qsk	@亭, 凉亭, 报摊	80
2ss	kis	@吻; !吻; $接吻	17
2t	kit	@装备, 工具箱, 成套工具; { 成套部件; 成套零件	38
3chen	'kitSin	@厨房, 全套炊具; | 厨房	63
3e	kait	@风筝, 筝帆, 空头支票, 骗子; $象风筝一样飞, 轻快地移动, 使用空头支票; !使上升, 骗钱	1f
3s	kit	@装备；小桶；锦囊（kit的复数）	20
1nack	nEk	@熟练技术, 巧妙手法, 诀窍; ] 窍门	80
3psack	'nEpsEk	@背包	40
3ve	neiv	@恶棍, 骗徒, (纸牌的)杰克; } 流氓行为, 无赖, 恶棍	80
2ead	ni:d	!揉, 按摩, 捏; [机] 揉合	80
3e	ni:	@膝, 膝盖; !膝行, 用膝盖碰	1f
4l	ni:l	$跪下	1c
3ll	nel	@丧钟声, 哀伤的声音, 凶兆; v. 鸣丧钟	40
2ife	naif	@小刀, 匕首; !切割, 伤害, 切, 戳; $劈开, 穿过	23
3ght	nait	@骑士, 爵士; !授以爵位	8
3t	nit	v. 编织, 结合	bc
2ob	nQb	@把手, 瘤, 旋钮, 球形突出物; !使有球形突出物; $鼓起	3c
3ck	nQk	@敲, 敲打, 敲门; v. 敲击, 互撞, 攻击	3
3ll	naul	@小山, 圆丘; !敲钟; $敲响	80
3t	nQt	@结, 群, 难题; v. 打结, (使)纠缠	3c
4ty	'nQti	#有结的, 多节的, 多瘤的, 棘手的	80
3w	nau	v. 知道, 了解, 认识, 确信	3
4-how	'nauhau	@实际知识, 技术秘诀, 诀窍; { 技术诀窍	80
4ledge	'nQlidZ	@知识, 学问, 认识, 知道	3f
9able	'nQlidZabl	#聪明的, 有知识的	40
1udos	'kju:dQs	@称赞, 光荣, 荣誉	80
1ymograph	'kaimaugrEf	@波动曲线记录仪; | 记波[纹]器	40
0lab	lEb	@实验室, 研究室; | 凝乳酶	3f
3el	'leibl	@标签, 称号, 商标, 标志; !贴标签于, 标注; { 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号	5c
3ile	'leibail	#不安定的, 易发生变化的; | 不稳定的, 易变的	80
3or	'leiba	@劳动, 努力, 工作, 劳工, 分娩; $劳动, 努力, 苦干; !详细分析, 使厌烦	10
5atory	'lEbratari	@实验室, 研究室, 化工厂; | 实验室, 检验室, 化验室	6d
5ed	'leibad	#吃力的, 缓慢的, 不自然的, 矫揉造作的	80
6r	'leibara	@体力劳动者, 辅助工; [机] 劳动者	40
5ious	la'bQ:rias	#艰苦的, 费劲的, 勤劳的	60
9ly		%辛苦地；费力地；不流畅地	40
4ur	'leiba	@劳动, 努力, 工作, 劳工, 分娩; $劳动, 努力, 苦干; !详细分析, 使厌烦	f
6er	'leibara	@劳动者, 干体力工作的工人, 劳工; [机] 劳动者	2
3yrinth	'lEbarinT	@迷宫, 难解事物, 迷路; ] 迷宫; 曲径	c0
2ce	leis	@饰带, 花边, 缎带, 鞋带; !结带子, 饰以花边; $系带子; { 全穿孔	fc
4rate	'lEsareit	!划破, 割破, 使痛心, 撕碎; #撕碎的, 受折磨的	80
7ion	.lEsa'reiSan	@划破, 割破, 裂伤撕碎; | 撕裂, 裂伤	80
3hrymose	'lEkrimaus	#爱哭的, 悲哀的	80
3k	lEk	@缺乏, 无, 不足; !缺乏, 短少, 不足, 需要; $缺乏	36
4adaisical	.lEka'deizikal	#懒洋洋的, 愁闷的, 伤感的	80
4ey	'lEki	@仆人, 侍从, 马屁精; !服侍, 侍候, 奉承	c0
4luster		#没有光泽的, 无生气的, 平凡的; @无光泽, 无生气, 暗淡	80
3onic	la'kQnik	#简洁的, 简明的	80
3tic	'lEktik	#乳的, 乳汁的, 由乳汁取得的; | 乳的	80
2d	lEd	@青年, 家伙, 少年, 情人	10
3der	'lEda	@梯, 梯状物, 发迹的途径; $袜子抽丝, 成名	1e
3en	'leidn	#装满的, 负载的, 苦恼的; lade的过去分词	20
3y	'leidi	@淑女, 夫人, 女士, 贵妇	17
2g	lEg	@落后, 囚犯, 迟延, 桶板, 防护套; #最后的; $落后, 蹒跚, 缓缓而行, 滞后; !落后于, 押往监狱, 加上外套; { 延迟; 落后	fc
3gard	'lEgad	@迟钝者, 落后者; #迟钝的, 落后的	80
3oon	la'^u:n	@环礁湖, 近海岸的浅水区, 泻湖, 咸水湖	c0
2ir	lea	@兽穴, 兽窝, 泥潭; $进入兽穴, 在泥中打滚; !放于穴中, 使陷入泥潭	80
