0r	ba,pk
1abbited	u5
6ing	u5
6s	u5
2ced	u6
4s	u6
3ing	u6
2dioed	u7
5ing	u7
5s	u7
2ilways	u8
3ncoated	ua
8s	ua
4ed	u9
4iest	ub
5ng	u9
4s	u9
4y	u9
3sed	uc
5s	uc
4ing	uc
2n	vy
3g	vh
2pids	ud
2ts	ue
3ted	ue
4ing	ue
1eached	ug
6s	ug
5ing	ug
3died	ui
6r	ui
6s	ui
5ng	uh
4s	uh
4ying	ui
3lised	uk
7s	uk
6ing	uk
4ly	uj
3soned	um
6ing	um
6s	um
2ceived	un
7s	un
6ing	un
3ited	up
6s	up
5ing	up
3orded	uq
7r	uq
8s	ur
6ing	uq
6s	uq
2dder	us
3s	us
2fused	ut
6s	ut
5ing	ut
2garded	uu
6ing	uu
6s	uu
3rets	uv
6ted	uv
7ing	uv
2lations	uw
4xed	ux
6s	ux
5ing	ux
2mained	uy
6ing	uy
6s	uy
3embered	uz
8ing	uz
8s	uz
2paired	v0
6ing	v0
6s	v0
3eated	v1
6ing	v1
6s	v1
3lied	v2
6s	v2
4ying	v2
3orted	v3
6ing	v3
6s	v3
2quired	v4
7s	v4
6ing	v4
2searched	v5
9s	v5
8ing	v5
3taurants	v7
4ed	v6
4ing	v6
4s	v6
3ulted	v8
6ing	v8
6s	v8
2telling	v9
6s	v9
3old	v9
3urned	va
6ing	va
6s	va
2viewed	vb
6ing	vb
6s	vb
1iced	vc
4s	vc
3her	vd
5st	vd
3ing	vc
2dden	vf
4led	ve
6s	ve
5ing	ve
3es	vf
3ing	vf
2ghted	vg
5ing	vg
5s	vg
2nging	vh
4s	vh
2se	vr
4n	vi
4s	vi
3ing	vi
3ked	vj
4ing	vj
4s	vj
2vers	vk
1oads	vl
2bots	vm
2cked	vn
4ing	vn
4s	vn
2de	vf
2les	vo
2omed	vp
4ing	vp
4s	vp
2ped	vq
4s	vq
3ing	vq
2se	vi
4s	vr
2unded	vs
6r	vs
5ing	vs
5s	vs
2wed	vt
3ing	vt
3s	vt
1ubbered	vu
6ing	vu
6s	vu
4ished	vv
8s	vv
7ing	vv
2led	vw
4r	vw
5s	vx
4s	vw
3ing	vw
2ng	vh
3ning	vy
3s	vy
2shed	vz
5s	vz
4ing	vz
3sians	w1
