0baby	babied,babies,babying
2ck	backed,backing,backs
4ground	backgrounds
2d	worse,worst
2g	bagged,bagging,bags
2ll	balled,balling,balls,@2t
4oon	ballooned,ballooning,balloons
2mboo	bamboos
2nana	bananas
3k	banked,banking,banks
2sic	basics
3ket	baskets
6ball	basketballs
2throom	bathrooms
1e	been,being,is,was
2ach	beached,beaches,beaching
3t	beaten,beating,beats,pd
2come	became,becomes,becoming,d
2d	bedded,bedding,beds
3room	bedrooms
2e	bees
3f	beefed,beefing,beefs
2gin	began,beginning,begins,begun
2haviour	behaviours
2lieve	believed,believes,believing
3l	belled,belling,bells
2side	@3g
1icycle	bicycled,bicycles,bicycling
2g	bigger,biggest
2ke	biked,bikes,biking
2ll	billed,billing,bills
2rd	birded,birding,birds
3th	birthed,birthing,births
5day	birthdays
2scuit	biscuits
2t	bite,bits,pd
3ter	bittered,bittering,bitters
1lack	blacked,blacker,blackest,blacking,blacks
5board	blackboards
2ind	blinded,blinder,blinding,blinds
2ood	blooded,blooding,bloods
3w	blew,blowing,blown,blows
1oard	boarded,boarding,boards
3t	boated,boating,boats
2dy	bodied,bodies,bodying
2ok	booked,booking,books
2ring	borings,@if
3n	bear,borning,d
3row	borrowed,borrowing,borrows
2ss	bossed,bosses,bossing
2ttle	bottled,bottles,bottling
4om	bottomed,bottoming,bottoms
2wl	bowled,bowling,bowls
2x	boxed,boxes,boxing
2y	boys
1rain	brained,braining,brains
3ve	braved,braver,braves,bravest,braving
2ead	breaded,breading,breads
4k	@7,breaking,breaks,broke,broken
5fast	breakfasted,breakfasting,breakfasts
4th	breaths
6e	breathed,breathes,breathing
2idge	bridged,bridges,bridging
3ght	brighter,brightest
3ng	bringing,brings,brought
2other	brothers
3wn	browned,browner,browning,browns
2ush	brushed,brushes,brushing
1uild	@4q,builds,built
5ing	@4p,buildings,@if
2rn	burned,burning,burns,burnt
2s	buses,bussed,busses,bussing
3iness	businesses
3y	busied,busier,busies,busiest,@4t,busying
2tter	buttered,buttering,butters
6fly	butterflied,butterflies,butterflying
2y	bought,buying,buys
1ye	byes
