0lab	labs
3oratory	@kj,laboratories
4ur	laboured,labouring,labours
2dy	ladies
2ke	lakes
2mb	lambed,lambing,lambs
3p	lamps
2nd	landed,landing,lands
3guage	languages
2rge	larger,largest
2te	later,latest
2ugh	laughed,laughing,laughs
2w	laws
2y	laid,laying,lays,@le,p
2zy	lazier,laziest
1ead	d,@kz,leading,leads,led
4er	leaders
3f	leafed,leafing,leafs,leaves
3rn	learned,learning,learns
3ve	leaves,leaving,@l4
2ft	dp,@l3
2g	legs
2monade	lemonades
2nd	lending,lends,lent
2sson	lessons
2t	dp,lets,letting
3ter	lettered,lettering,letters
2vel	levelled,levelling,levels
1ibrary	libraries
2cense	licensed,licenses,licensing
2e	lain,@kw,lies,lying
2fe	lives
3t	lifted,lifting,lifts
2ght	lighter,lightest,lighting,lights,lit
2ke	liked,likes,liking
2ne	lined,lines,lining
2on	lions
2st	listed,listing,lists
4en	listened,listening,listens
2tter	littered,littering,litters
2ve	lived,@lq,lives,living
4ly	livelier,liveliest
1ock	locked,locking,locks
2nely	lonelier,loneliest
3g	longed,longer,longest,longing,longs
2ok	looked,looking,looks
2se	loses,losing,lost
2t	lots,lotted,lotting
2ud	louder,loudest
2ve	loved,@m0,loves,loving
4ly	lovelier,lovelies,loveliest
2w	lowed,lower,lowest,lowing,lows
1uck	@m3
4y	luckier,luckiest
2nch	lunched,lunches,lunching
