0package	packaged,packages,packaging
2ge	paged,pages,paging
2int	painted,painting,paints
3r	paired,pairing,pairs
2lace	palaces
3e	paled,paler,pales,palest,paling
2ncake	pancaked,pancakes
3da	pandas
2per	papered,papering,papers
2rdon	pardoned,pardoning,pardons
3ent	parents
3k	parked,parking,parks
3t	parted,parting,parts
4y	partied,parties,partying
2ss	passed,passes,passing
4age	passages
4enger	passengers
4port	passports
2th	paths
3ient	patients
2y	paid,paying,pays
1ear	pears
2n	penned,penning,pens
3ce	pences
4il	pencilled,pencilling,pencils
3ny	@r8,pennies
2ople	peopled,peoples,peopling
2rfect	perfected,perfecting,perfects
3iod	periods
3son	@rh,persons
2t	pets,petted,petting
1hone	phoned,phones,phoning
3to	photos
5graph	@rk,photographed,photographing,photographs
1iano	pianos
2ck	picked,picking,picks
3nic	picnicked,picnicking,picnics
3ture	pictured,pictures,picturing
2e	pies
3ce	pieced,pieces,piecing
2g	pigged,pigging,pigs
2lot	piloted,piloting,pilots
2nk	pinked,pinker,pinking,pinks
2oneer	pioneered,pioneering,pioneers
2ty	pitied,pities,pitying
1lace	placed,places,placing
3in	plained,plainer,plainest,plaining,plains
3n	planned,planning,plans
4e	planed,planes,planing
5t	planets
4t	planted,planting,plants
3stic	plastics
3te	plated,plates,plating
3y	played,playing,plays
4ground	playgrounds
2easant	pleasanter,pleasantest
5e	pleased,pleases,pleasing
5ure	pleasures,pleasuring
1ocket	pocketed,pocketing,pockets
2em	poems
2int	pointed,pointing,points
2lice	policed,polices,policing,s
6man	policemen
5y	policies
4te	politer,politest
2nd	ponds
2ol	pooled,pooling,pools
3r	poorer,poorest
2p	popped,popping,pops
3ular	populars
6tion	populations
2rk	porking
2sition	positioned,positioning,positions
3sible	@ip
3t	posted,posting,posts
4card	postcards
4man	postmen
2tato	potatoes
2und	pounded,pounding,pounds
1ractice	practiced,practices,practicing
6se	@sx,practised,practises,practising
3ise	praised,praises,praising
2epare	prepared,prepares,preparing
3sent	presented,presenting,presents
4ident	presidents
3tty	prettier,prettiest
3vent	prevented,preventing,prevents
2ice	priced,prices,pricing
3de	prided,prides,priding
3mary	primaries
3nt	printed,printing,prints
3son	@ta,prisons
6er	prisoners
3vate	privates
3ze	prized,prizes,prizing
2oblem	problems
3duce	produced,produces,producing
3gramme	programmed,programmes,programming,programs
5ess	progressed,progresses,progressing
3mise	promised,promises,promising
3nounce	pronounced,pronounces,pronouncing,@tk
4unciation	pronunciations
3tect	protected,protecting,protects
3ud	prouder,proudest
3ve	proved,proves,proving
4ide	provided,provides,providing
1ull	pulled,pulling,pulls
2nish	punished,punishes,punishing
2pil	pupils
2rple	purpled,purpler,purples,purplest,purpling
4ose	purposed,purposes,purposing
3se	pursed,purses,pursing
2sh	pushed,pushes,pushing
2t	dp,puts,putting
