0rabbit	rabbited,rabbiting,rabbits
2ce	raced,races,racing
2dio	radioed,radioing,radios
2ilway	railways
3n	rained,raining,rains,@ub
4coat	raincoated,raincoats
4y	rainiest
3se	raised,raises,raising
2pid	rapids
2t	rats,ratted,ratting
1each	reached,reaches,reaching
3d	dp,reading,reads
4y	readied,readier,readies,readying
3l	@ul
4ise	realised,realises,realising
3son	reasoned,reasoning,reasons
2ceive	received,receives,receiving
3ite	recited,recites,reciting
3ord	recorded,@ur,recording,records
6er	recorders
2d	redder,reds
2fuse	refused,refuses,refusing
2gard	regarded,regarding,regards
3ret	regrets,regretted,regretting
2lation	relations
4x	relaxed,relaxes,relaxing
2main	remained,remaining,remains
3ember	remembered,remembering,remembers
2pair	repaired,repairing,repairs
3eat	repeated,repeating,repeats
3ly	replied,replies,replying
3ort	reported,reporting,reports
2quire	required,requires,requiring
2search	researched,researches,researching
3t	rested,resting,rests
4aurant	restaurants
3ult	resulted,resulting,results
2tell	retelling,retells,retold
3urn	returned,returning,returns
2view	reviewed,reviewing,reviews
1ice	riced,rices,ricing
3h	richer,richest
2ddle	riddled,riddles,riddling
3e	ridden,rides,riding,rode
2ght	righted,righting,rights
2ng	rang,ringing,rings,rung
2se	risen,rises,rising,@vr
3k	risked,risking,risks
2ver	rivers
1oad	roads
2bot	robots
2ck	rocked,rocking,rocks
2le	roles
2om	roomed,rooming,rooms
2pe	roped,ropes,roping
2se	pd,@vi,roses
2und	rounded,rounder,rounding,rounds
2w	rowed,rowing,rows
1ubber	rubbered,rubbering,rubbers
4ish	rubbished,rubbishes,rubbishing
2le	ruled,@vx,rules,ruling
4r	rulers
2n	d,ran,running,runs
2sh	rushed,rushes,rushing
3sian	russians
