0saber	sabered,sabering,sabers
3otage	sabotaged,sabotages,sabotaging
5eur	@2ll,@2sa,@2u9,@31q,saboteurs
2c	sacs
3charine	saccharines
3k	sacked,sacking,sacks
3rament	sacraments
4ifice	sacrificed,sacrifices,sacrificing
5lege	@8xr
2d	@8xt,sadder,saddest,@8xw,@8xx
3den	saddened,saddening,saddens
4le	saddled,saddles,saddling
3ness	sadnesses
2fari	safaris
3e	@8y1,safer,safes,safest,@8y2,@awu
4guard	safeguarded,safeguarding,safeguards
2ga	sagaing,sagas
3e	sager,sages,sagest
2il	sailed,@8y7,@8y8,sails
4ing	@51t,@8y6,sailings
4or	sailors
3nt	sainted,sainting,@8ya,saints
5ly	saintliest
2ke	sakes
2lad	salads
4ry	salaries
3e	@8yf
4sgirl	salesgirls
5man	salesmen
5woman	saleswomen
3ient	salients
4ne	@8ym
5ity	salinities
3low	sallowed,sallowing,sallows
3mon	salmons
3t	salted,salting,salts,@8ys
4y	saltier,@8yr
3utation	salutations
5e	@8yv,saluted,salutes,saluting
3vage	salvaged,salvages,salvaging
4e	salved,salves,salving
2mple	sampled,samples,sampling
6r	samplers
2natorium	sanatoriums
3ctify	sanctified,sanctifies,sanctifying
6on	sanctioned,sanctioning,sanctions
5uary	sanctuaries
3d	sanded,sanding,sands,@8zb
4al	sandals
4wich	sandwiched,sandwiches,sandwiching
4y	sandier
3e	@5fk,@5fl,saner,sanest,@8zh
2p	sapped,sapping,saps
3ient	@8zj
3ling	saplings
3phire	sapphires
2rcasm	sarcasms
3dine	sardined,sardines
2sh	sashes
2te	@8zv,sates,sating
4d	dp,@8zu
4llite	satellites
3iate	@8zy,satiates,satiating
7d	dp,@8zx
4re	satires,@901,@902,@903
5ist	@5n8,@8zn,@900,satirists
6ze	satirized,satirizes,satirizing
4sfaction	satisfactions
9ory	@906,@awv
6y	satisfied,satisfies,satisfying
3urate	@90a,saturates,saturating,@90b
8d	d
7ion	saturations
5day	saturdays
2uce	sauced,sauces,saucing
5r	saucers
3nter	sauntered,sauntering,saunters
3sage	sausages
2vage	savaged,savages,savaging
4nt	savants
3e	saved,saves,@90m,@90n
3ing	@51t,@90l,@90n
6s	s,@90m
3or	savored,savoring,savors
3vy	savvied,savvies,savviest,savvying
2w	p,sawed,sawing,sawn,saws,@95m
2y	said,@90t,says
3ing	@51t,@90s,sayings
1cab	scabbed,scabbing,scabs
4bard	scabbards
3d	@90y
4s	s,@90x
3ffold	scaffolded,@910,scaffolds
8ing	@51t,scaffoldings
3ld	scalded,@912,scalds
5ing	@51t,@911
4e	@914,scales,scaling
5d	dp,@913
4pel	scalpelling,scalpels
3mper	scampered,scampering,scampers
3n	scanned,scanning,scans
4dal	scandals
4t	scanted,scantest,scanting,scants,@91a
5y	scanties,scantiest
