0ugly	uglier,uglies,ugliest
1lcer	@ar8,ulcers
5ate	ulcerated,ulcerates,ulcerating
2timate	@arb,ultimates
7um	ultimatums
3rasonic	@arf
1mbrella	umbrellas
2pire	umpired,umpires,umpiring
1nbend	unbending,unbends,unbent
3lemished	d,unblemish
3ridled	pd,unbridle
2canny	uncanniest
3le	uncles
3over	uncovered,uncovering,uncovers
2derbid	dp,underbidding,underbids
5cut	dp,undercuts,undercutting
5developed	pd,underdevelop
6og	underdogs
5estimate	@aso,underestimates,underestimating
dd	dp,@asn
5gird	undergirded,undergirding,undergirds
6o	undergoes,undergoing,undergone,underwent
6raduate	undergraduates
7ound	undergrounding
5lie	underlay,underlies,@asx
7ne	underlined,underlines,underlining
8g	underlings
6ying	@51t
5mine	undermined,undermines,undermining
5play	underplayed,underplaying,underplays
5rate	underrated,underrates,underrating
5score	underscored,underscores,underscoring
6tand	@6jz,@at4,understands,understood
aing	@51t,@at3,understandings
8te	@at6,@at7,understates,understating
ad	dp,@at5
ament	understatements
7udy	understudied,understudies,understudying
5take	undertaken,undertakes,@ata,undertook
8ing	@51t,@at9,undertakings
5write	underwrites,underwriting,underwritten,underwrote
4sirable	undesirables
3o	undid,undoes,undoing,undone
3ulate	undulated,undulates,undulating
2earth	unearthed,unearthing,@ats,unearths
3ven	@aty
3xpected	d,unexpect
2fair	unfairest
4sten	unfastened,unfastening,unfastens
3it	unfits,unfitted,unfitting
3old	unfolded,unfolding,unfolds
4rtunate	@aud,unfortunates
2gainly	ungainliest
3rudging	@51t,ungrudge
3uent	unguents
2happy	unhappier,unhappiest
2icorn	unicorns
3form	uniformed,uniforming,@aup,@auq,uniforms
7ity	uniformities
4y	@aun,unified,unifies,unifying
3on	unions
3que	@av1
3son	unisons
3t	units
4e	@av5,unites,uniting
5d	dp
4y	unities
3versal	@av8,universals
7e	@av7,@av8,universes
7ities	s,@avb
9y	@ava
2just	@avf
2kind	unkindest
3nown	unknowns
2leash	unleashed,unleashes,unleashing
3ike	@avm
6ly	unlikeliest
3oad	unloaded,unloading,unloads
4ck	unlocked,unlocking,unlocks
3ucky	unluckier,unluckiest
2noticed	d,unnotice
2pack	unpacked,unpacking,unpacks
3repossessing	@7xi
2ravel	unravelled,unravelling,unravels
3eliable	unreliables
4quited	@8nz
4st	unrests
3uly	unrulier
2scrupulous	@awz,@ax0
3ettle	unsettled,unsettles,@ax5
7ing	@51t,@ax4
3tinting	@51t,unstint
2tapped	dp
3hreatening	@51t,unthreaten
3ie	untied,unties,untying
2usual	@axs
2veil	unveiled,unveiling,unveils
1p	upped,upping,ups
2braid	p,upbraided,upbraiding,upbraids,upbray
2date	updated,updates,updating
2grade	upgraded,upgrades,upgrading
2heaval	upheavals
3old	upheld,upholding,upholds
2land	uplands
2per	uppers
2right	uprighted,uprights
4sing	@51t,uprise,uprisings
3oar	@ayf,uproars
4ot	uprooted,uprooting,uproots
2set	dp,upsets,upsetting
3tage	upstaged,upstages,upstaging
5rt	upstarts
3urge	upsurges
3wing	upswinging,upswings
2wards	@ayr
1rban	@ayy,@ayz
5ite	urbanites
6ze	urbanized,urbanizes,urbanizing
2chin	urchins
2ge	urged,urges,urging
4ncy	urgencies
5t	@az2
1sage	usages
2e	@6k0,@8rd,@az8,@az9,@aza,@azb,uses,using
3d	dp,@az7
3r	users
2her	ushered,ushering,ushers
2ual	@axr,@axs,@aze
3rp	usurped,usurping,usurps
1tensil	@azi
7s	s,@azh
2ilitarian	utilitarians
6y	utilities
5ze	utilized,utilizes,utilizing
2opia	@azp,utopias
6n	utopians
2ter	@azr,uttered,uttering,@azs,utters
5ance	utterances
